season,team,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,g,gs_2,goals,assists,points,shots,shot_pct,sog,sog_pct,gwg,man_up_g,man_down_g,gb,to,ct,fo_won,f_os_taken,fo_pct,pen,pen_time,ggp,ggs,g_min,goals_allowed,gaa,saves,save_pct,rc,yc,clears,att,clear_pct,otg,ncaa_id
2020,Air Force Falcons,31,Matthew Schwartz,"Schwartz, Matthew",Matthew,Schwartz,Sr,,4,2,4,2,1,3,4,8,0.125,3,0.375,NA,NA,NA,3,3,1,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1883535
2020,Air Force Falcons,33,Jason Rose,"Rose, Jason",Jason,Rose,Fr,,3,NA,3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,0,NA,NA,NA,3,NA,16:36,2,7.229,1,0.333,NA,NA,NA,NA,NA,NA,2319159
2020,Air Force Falcons,52,Chandler Coons,"Coons, Chandler",Chandler,Coons,Sr,,3,NA,3,NA,2,NA,2,3,0.667,2,0.667,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975039
2020,Air Force Falcons,9,Kevin Cox,"Cox, Kevin",Kevin,Cox,Sr,,3,NA,3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1879172
2020,Air Force Falcons,32,Maxwell Kane,"Kane, Maxwell",Maxwell,Kane,Fr,,3,NA,3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319138
2020,Air Force Falcons,24,Gavin Peene,"Peene, Gavin",Gavin,Peene,Fr,,2,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319155
2020,Air Force Falcons,27,Mitchell Gruenewald,"Gruenewald, Mitchell",Mitchell,Gruenewald,Fr,,2,NA,2,NA,NA,NA,0,1,NA,1,1,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319156
2020,Air Force Falcons,35,Ian Mullins,"Mullins, Ian",Ian,Mullins,So,,2,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126514
2020,Air Force Falcons,6,Joe Kassal,"Kassal, Joe",Joe,Kassal,Fr,,2,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319135
2020,Air Force Falcons,30,Ian Rodriguez,"Rodriguez, Ian",Ian,Rodriguez,Fr,,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319158
2020,Air Force Falcons,7,Noah Schwab,"Schwab, Noah",Noah,Schwab,Jr,,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,1:39,2,72.727,NA,NA,NA,NA,NA,NA,NA,NA,1975038
2020,Air Force Falcons,39,Davis Schiller,"Schiller, Davis",Davis,Schiller,So,,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126503
2020,Air Force Falcons,49,Joey Matheson,"Matheson, Joey",Joey,Matheson,Fr,,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319166
2020,Army West Point Black Knights,0,Nicholas Garofano,"Garofano, Nicholas",Nicholas,Garofano,Jr,ATT,8,NA,8,NA,1,3,4,6,0.167,2,0.333,NA,NA,NA,3,7,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983685
2020,Army West Point Black Knights,56,Anthony George,"George, Anthony",Anthony,George,Sr,M,8,NA,8,NA,1,1,2,2,0.5,2,1,NA,NA,NA,13,5,3,1,3,0.333,3,120,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876997
2020,Army West Point Black Knights,32,Sean O'Brien,"O'Brien, Sean",Sean,O'Brien,Sr,ATT,8,8,8,8,16,3,19,47,0.34,30,0.638,NA,1,NA,6,6,NA,NA,0,NA,2,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876996
2020,Army West Point Black Knights,46,Tom Rigney,"Rigney, Tom",Tom,Rigney,Sr,D,8,8,8,8,NA,1,1,NA,NA,NA,NA,NA,NA,NA,23,1,5,NA,0,NA,2,120,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876994
2020,Army West Point Black Knights,43,Bennett Taylor,"Taylor, Bennett",Bennett,Taylor,Sr,D,8,7,8,7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,18,5,11,1,1,1,2,90,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876993
2020,Army West Point Black Knights,4,Miles Silva,"Silva, Miles",Miles,Silva,Sr,ATT,8,8,8,8,22,1,23,38,0.579,34,0.895,NA,2,NA,15,7,2,NA,0,NA,3,120,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876992
2020,Army West Point Black Knights,7,Connor DeWitt,"DeWitt, Connor",Connor,DeWitt,Sr,M,8,8,8,8,5,5,10,18,0.278,13,0.722,1,NA,NA,2,5,2,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876989
2020,Army West Point Black Knights,1,Matt Manown,"Manown, Matt",Matt,Manown,Sr,M,8,8,8,8,4,5,9,14,0.286,12,0.857,1,NA,NA,9,6,4,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876986
2020,Army West Point Black Knights,90,Jacob Morin,"Morin, Jacob",Jacob,Morin,Fr,M,8,NA,8,NA,12,NA,12,29,0.414,17,0.586,1,2,NA,6,3,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333344
2020,Army West Point Black Knights,42,Stevie Grabher,"Grabher, Stevie",Stevie,Grabher,Fr,FO,8,NA,8,NA,2,3,5,4,0.5,3,0.75,NA,NA,NA,36,2,5,75,154,0.487,1,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333341
2020,Army West Point Black Knights,25,Joey Stillings,"Stillings, Joey",Joey,Stillings,Fr,M,8,NA,8,NA,NA,1,1,1,NA,1,1,NA,NA,NA,9,2,4,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333235
2020,Army West Point Black Knights,23,Danny Kielbasa,"Kielbasa, Danny",Danny,Kielbasa,So,M,8,NA,8,NA,2,6,8,6,0.333,3,0.5,NA,NA,NA,6,4,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116272
2020,Army West Point Black Knights,21,Wyatt Schulper,"Schulper, Wyatt",Wyatt,Schulper,So,GK,8,8,8,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,12,3,1,NA,0,NA,1,60,8,8,426:17,51,7.178,82,0.617,NA,NA,NA,NA,NA,NA,2116283
2020,Army West Point Black Knights,52,Matthew Horace,"Horace, Matthew",Matthew,Horace,So,M,8,NA,8,NA,1,1,2,2,0.5,2,1,NA,NA,NA,6,1,4,NA,0,NA,3,150,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116281
2020,Army West Point Black Knights,30,Liam Davenport,"Davenport, Liam",Liam,Davenport,So,M,8,NA,8,NA,1,NA,1,2,0.5,2,1,NA,NA,NA,13,5,4,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116274
2020,Army West Point Black Knights,22,Doug Jones,"Jones, Doug",Doug,Jones,So,M,8,NA,8,NA,NA,NA,0,1,NA,1,1,NA,NA,NA,3,1,1,NA,0,NA,1,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116270
2020,Army West Point Black Knights,55,Gunner Philipp,"Philipp, Gunner",Gunner,Philipp,So,ATT,8,8,8,8,8,1,9,34,0.235,18,0.529,NA,NA,NA,2,4,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116260
2020,Army West Point Black Knights,20,Brendan Nichtern,"Nichtern, Brendan",Brendan,Nichtern,So,ATT,8,8,8,8,19,27,46,63,0.302,35,0.556,3,3,NA,12,26,1,NA,0,NA,1,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116240
2020,Army West Point Black Knights,11,Marcus Hudgins,"Hudgins, Marcus",Marcus,Hudgins,So,D,8,8,8,8,NA,1,1,1,NA,NA,NA,NA,NA,NA,26,6,20,NA,0,NA,3,180,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116238
2020,Army West Point Black Knights,14,Bobby Abshire,"Abshire, Bobby",Bobby,Abshire,So,M,8,NA,8,NA,7,7,14,22,0.318,12,0.545,NA,NA,NA,5,1,1,NA,0,NA,2,120,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116234
2020,Army West Point Black Knights,77,Kyle Beyer,"Beyer, Kyle",Kyle,Beyer,Jr,DM,8,NA,8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,26,NA,7,NA,0,NA,1,30,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994266
2020,Army West Point Black Knights,45,Nickolas Edinger,"Edinger, Nickolas",Nickolas,Edinger,Jr,M,8,NA,8,NA,1,5,6,11,0.091,3,0.273,NA,NA,NA,6,3,1,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983693
2020,Army West Point Black Knights,88,Chase Gedney,"Gedney, Chase",Chase,Gedney,Jr,M,7,NA,7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,2,1,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983696
2020,Army West Point Black Knights,98,Ryan Sposito,"Sposito, Ryan",Ryan,Sposito,Fr,M,7,NA,7,NA,1,1,2,4,0.25,3,0.75,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333234
2020,Army West Point Black Knights,99,Ethan Barangan,"Barangan, Ethan",Ethan,Barangan,So,FO,7,NA,7,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,10,29,0.345,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116262
2020,Army West Point Black Knights,27,Peter Cox,"Cox, Peter",Peter,Cox,Sr,M,6,NA,6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876990
2020,Army West Point Black Knights,91,Jack Weigand,"Weigand, Jack",Jack,Weigand,So,D,6,NA,6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116261
2020,Army West Point Black Knights,41,Reese Burek,"Burek, Reese",Reese,Burek,Fr,M,5,NA,5,NA,1,NA,1,2,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333228
2020,Army West Point Black Knights,44,Brendan Ryan,"Ryan, Brendan",Brendan,Ryan,Jr,M,5,NA,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,1,30,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983692
2020,Army West Point Black Knights,50,Bo Waters,"Waters, Bo",Bo,Waters,So,M,5,NA,5,NA,1,NA,1,3,0.333,1,0.333,NA,NA,NA,1,2,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116278
2020,Army West Point Black Knights,13,Gregory Coleman,"Coleman, Gregory",Gregory,Coleman,Jr,GK,5,NA,5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,5,NA,35:50,6,10.047,6,0.5,NA,NA,NA,NA,NA,NA,1983705
2020,Army West Point Black Knights,19,Aidan Byrnes,"Byrnes, Aidan",Aidan,Byrnes,So,ATT,5,NA,5,NA,1,1,2,2,0.5,1,0.5,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116255
2020,Army West Point Black Knights,37,Chase Taylor,"Taylor, Chase",Chase,Taylor,Fr,ATT,5,NA,5,NA,3,NA,3,6,0.5,5,0.833,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333236
2020,Army West Point Black Knights,6,Alex Alacqua,"Alacqua, Alex",Alex,Alacqua,Sr,M,5,NA,5,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,3,1,1,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876988
2020,Army West Point Black Knights,48,Ethan Carr,"Carr, Ethan",Ethan,Carr,Sr,M,5,NA,5,NA,NA,NA,0,2,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876995
2020,Army West Point Black Knights,5,Jack Whalen,"Whalen, Jack",Jack,Whalen,Jr,D,5,NA,5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983686
2020,Army West Point Black Knights,12,Matthew Russell,"Russell, Matthew",Matthew,Russell,Jr,D,5,1,5,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983687
2020,Army West Point Black Knights,24,Ryan Fairbrother,"Fairbrother, Ryan",Ryan,Fairbrother,Sr,M,4,NA,4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876987
2020,Army West Point Black Knights,9,Anthony Seymour,"Seymour, Anthony",Anthony,Seymour,Fr,ATT,4,NA,4,NA,NA,NA,0,2,NA,1,0.5,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333233
2020,Army West Point Black Knights,81,Jackson Tyler,"Tyler, Jackson",Jackson,Tyler,Fr,M,4,NA,4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333346
2020,Army West Point Black Knights,26,Knox Dent,"Dent, Knox",Knox,Dent,Fr,GK,3,NA,3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,3,NA,13:30,1,4.444,3,0.75,NA,NA,NA,NA,NA,NA,2333229
2020,Army West Point Black Knights,28,Paul Johnson,"Johnson, Paul",Paul,Johnson,Fr,ATT,3,NA,3,NA,1,NA,1,3,0.333,3,1,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333342
2020,Army West Point Black Knights,38,Deacon Donaldson,"Donaldson, Deacon",Deacon,Donaldson,Fr,D,3,NA,3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333230
2020,Army West Point Black Knights,17,Daniel Ross,"Ross, Daniel",Daniel,Ross,So,ATT,3,NA,3,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,NA,1,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983694
2020,Army West Point Black Knights,59,Andrew Bregman,"Bregman, Andrew",Andrew,Bregman,Fr,ATT,2,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333227
2020,Army West Point Black Knights,16,James Pryor,"Pryor, James",James,Pryor,So,M,2,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3,4,2,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116284
2020,Army West Point Black Knights,29,Jake Bieler,"Bieler, Jake",Jake,Bieler,So,D,2,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2303112
2020,Army West Point Black Knights,8,Griffin Harten,"Harten, Griffin",Griffin,Harten,So,D,2,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116276
2020,Army West Point Black Knights,31,Ryan Pedrani,"Pedrani, Ryan",Ryan,Pedrani,Fr,FO,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333345
2020,Army West Point Black Knights,57,Zane Mazur,"Mazur, Zane",Zane,Mazur,Fr,M,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333343
