Date,Team,Opponent,Home / Away,Result,Score,Visitor Score,Overtime,Goals,Assists,Points,Shots,Shots on Goal,Ground Balls,Turnovers,Caused Turnovers,Defensive Goals,Defensive Assists,Defensive Points,Defensive Shots,Defensive Shots on Goal,Defensive Groundball's,Defensive  Turnovers,Defensive  Caused Turnovers,Goals Allowed,Saves,Defensive Goals Allowed,Defensive Saves
2023-04-29,Dartmouth,Brown,Home,L,11,13,NA,11,7,18,44,19,37,21,15,13,9,22,40,24,40,23,10,13,11,11,8
2023-02-11,Delaware,Lafayette,Away,W,14,5,NA,14,6,20,55,28,28,7,2,5,1,6,38,17,25,11,6,5,12,14,14
2023-02-15,Delaware,Mount St. Mary's,Away,W,15,6,NA,15,11,26,44,31,34,22,14,6,2,8,23,11,36,27,16,6,5,15,16
2023-02-18,Delaware,St. John's (NY),Home,L,16,9,NA,16,10,26,50,31,39,18,11,9,4,13,38,19,25,18,13,9,10,16,15
2023-02-26,Delaware,Villanova,Home,L,12,13,NA,12,7,19,32,20,38,16,10,13,6,19,46,28,44,15,7,13,15,12,8
2023-03-04,Delaware,Michigan,Home,L,12,16,NA,12,8,20,44,24,30,13,7,16,8,24,38,23,26,14,7,16,7,12,12
2023-03-07,Delaware,UMBC,Home,W,17,11,NA,17,9,26,45,29,34,19,8,11,4,15,35,17,31,19,9,11,6,17,12
2023-03-11,Delaware,Monmouth,Home,L,18,6,NA,18,10,28,43,25,31,10,9,6,4,10,29,14,25,19,3,6,8,18,7
2023-03-19,Delaware,Johns Hopkins,Away,W,10,12,NA,10,6,16,26,16,23,18,9,12,8,20,48,31,49,16,9,12,19,10,6
2023-03-25,Delaware,Hofstra,Away,W,15,7,NA,15,8,23,47,24,29,15,13,7,1,8,34,17,29,22,5,7,10,15,9
2023-04-01,Delaware,Hampton,Home,W,19,1,NA,19,17,36,44,31,30,13,9,1,0,1,28,11,26,20,9,1,10,19,12
2023-04-08,Delaware,Fairfield,Home,L,17,7,NA,17,12,29,46,31,35,14,6,7,4,11,39,20,29,14,9,7,13,17,14
2023-04-15,Delaware,Stony Brook,Away,W,12,9,NA,12,4,16,43,27,30,10,11,9,5,14,43,19,33,21,4,9,10,12,15
2023-04-22,Delaware,Drexel,Home,W,18,13,NA,18,5,23,45,32,30,12,13,13,5,18,38,21,37,18,8,13,8,18,14
2023-04-29,Delaware,Towson,Away,W,10,15,NA,10,6,16,35,24,30,15,12,15,6,21,47,23,36,21,11,15,8,10,14
2023-05-04,Delaware,Towson,Home,L,11,8,NA,11,6,17,40,18,32,17,8,8,7,15,38,18,32,14,12,8,10,11,7
2023-05-06,Delaware,Stony Brook,Home,W,13,10,NA,13,6,19,44,27,27,9,11,10,5,15,41,24,25,16,4,10,14,13,14
2023-05-10,Delaware,Marist,Home,W,25,10,NA,25,13,38,64,37,40,6,9,10,5,15,25,19,27,16,3,10,9,25,12
2023-05-14,Delaware,Duke,Away,W,11,12,NA,11,4,15,30,22,19,14,4,12,7,19,45,27,40,16,12,12,15,11,11
2023-02-04,Denver,Utah,Home,L,12,4,NA,12,7,19,36,20,29,15,1,4,4,8,34,14,18,13,3,4,10,12,8
2023-02-11,Denver,Air Force,Away,W,10,12,NA,10,8,18,35,27,24,14,4,12,5,17,36,18,24,13,6,12,6,10,17
2023-02-17,Denver,Duke,Away,W,13,14,1,13,5,18,33,21,26,18,4,14,9,23,37,22,31,15,9,14,8,13,8
2023-02-25,Denver,Merrimack,Home,L,13,9,NA,13,6,19,58,35,31,14,7,9,7,16,26,18,22,17,7,9,9,13,22
2023-03-04,Denver,North Carolina,Away,L,9,8,NA,9,3,12,31,17,29,21,4,8,6,14,32,15,26,19,10,8,7,9,8
2023-03-11,Denver,Yale,Away,L,9,11,NA,9,4,13,35,22,23,19,6,11,6,17,39,22,22,15,9,11,11,9,13
2023-03-19,Denver,Ohio St.,Home,W,17,12,NA,17,10,27,38,28,30,13,7,12,7,19,37,20,26,15,5,12,8,17,11
2023-04-01,Denver,Georgetown,Away,L,6,13,NA,6,4,10,23,14,18,18,6,13,9,22,46,25,40,18,10,13,12,6,8
2023-04-08,Denver,Villanova,Home,L,12,6,NA,12,7,19,33,17,34,18,4,6,2,8,41,18,25,15,4,6,12,12,5
2023-04-13,Denver,Towson,Away,L,12,10,NA,12,9,21,32,19,28,12,8,10,3,13,39,20,30,14,8,10,10,12,7
2023-04-15,Denver,St. John's (NY),Away,L,12,10,NA,12,10,22,33,21,37,21,12,10,4,14,36,17,20,18,12,10,7,12,9
2023-04-21,Denver,Providence,Home,L,13,6,NA,13,12,25,32,20,34,14,8,6,4,10,23,11,27,19,7,6,5,13,7
2023-04-28,Denver,Marquette,Away,L,15,14,1,15,6,21,44,30,28,12,8,14,8,22,31,21,20,13,6,14,7,15,15
2023-05-04,Denver,"Villanova Milwaukee, Wis.",Away,W,16,9,NA,16,8,24,34,22,29,17,5,9,5,14,29,17,20,17,5,9,8,16,6
2023-05-06,Denver,"Georgetown Milwaukee, Wis.",Away,L,5,14,NA,5,1,6,34,17,21,17,2,14,10,24,35,22,27,12,7,14,8,5,12
2023-02-04,Detroit Mercy,VMI,Away,W,11,14,NA,11,7,18,36,21,21,20,15,14,10,24,53,29,36,18,14,14,15,11,10
2023-02-11,Detroit Mercy,High Point,Away,L,2,17,NA,2,0,2,27,12,17,23,10,17,7,24,71,34,38,16,14,17,17,2,10
2023-03-01,Detroit Mercy,Marquette,Home,W,5,10,NA,5,2,7,46,23,28,17,8,10,5,15,48,26,26,14,9,10,16,5,18
2023-03-14,Detroit Mercy,Ohio St.,Away,L,6,19,NA,6,3,9,26,10,26,18,5,19,11,30,52,31,31,15,9,19,12,6,4
2023-03-18,Detroit Mercy,Mercer,Away,W,12,16,NA,12,7,19,37,20,22,7,7,16,6,22,55,33,41,12,3,16,17,12,8
2023-03-25,Detroit Mercy,Utah,Home,L,11,24,NA,11,3,14,40,24,31,19,5,24,12,36,69,43,54,13,5,24,19,11,13
2023-03-29,Detroit Mercy,Robert Morris,Home,L,14,8,NA,14,5,19,47,27,33,11,9,8,7,15,30,16,29,21,5,8,8,14,13
2023-04-01,Detroit Mercy,Queens (NC),Away,W,5,9,NA,5,0,5,42,21,20,16,9,9,5,14,40,20,17,17,11,9,11,5,16
2023-04-08,Detroit Mercy,Lindenwood,Home,W,17,16,NA,17,9,26,38,22,20,8,7,16,8,24,46,29,32,11,3,16,13,17,5
2023-04-12,Detroit Mercy,Jacksonville,Away,L,7,17,NA,7,4,11,45,28,31,15,8,17,6,23,49,31,41,14,9,17,14,7,21
2023-04-15,Detroit Mercy,Air Force,Away,L,7,22,NA,7,4,11,30,18,22,17,4,22,10,32,58,38,37,12,10,22,16,7,11
2023-04-22,Detroit Mercy,Bellarmine,Home,W,3,18,NA,3,2,5,27,10,32,17,8,18,11,29,42,32,38,13,6,18,14,3,7
2023-04-29,Detroit Mercy,Cleveland St.,Away,W,12,14,NA,12,4,16,45,25,38,14,7,14,9,23,38,26,34,20,6,14,12,12,13
2023-02-18,Drexel,UMBC,Home,W,7,12,NA,7,5,12,34,18,20,18,7,12,7,19,38,22,27,12,10,12,10,7,11
2023-02-21,Drexel,Lafayette,Home,W,16,14,NA,16,9,25,44,27,41,15,10,14,7,21,37,21,22,15,7,14,7,16,11
2023-02-25,Drexel,UAlbany,Away,L,7,11,NA,7,5,12,31,13,18,23,6,11,3,14,36,19,25,18,9,11,8,7,6
2023-03-04,Drexel,Sacred Heart,Away,L,12,11,NA,12,7,19,39,29,23,13,8,11,7,18,38,27,25,16,7,11,16,12,17
2023-03-08,Drexel,"Villanova Philadelphia, Pa.",Away,L,7,14,NA,7,1,8,25,19,34,24,6,14,6,20,43,27,32,14,12,14,13,7,12
2023-03-11,Drexel,"Saint Joseph's Philadelphia, Pa.",Away,L,18,16,NA,18,9,27,33,25,33,18,6,16,5,21,57,32,44,15,7,16,16,18,7
2023-03-18,Drexel,Towson,Away,L,12,11,1,12,4,16,42,19,30,19,6,11,6,17,49,26,30,16,9,11,15,12,7
2023-03-25,Drexel,Hampton,Home,L,18,4,NA,18,12,30,50,35,42,17,11,4,3,7,35,15,26,26,9,4,11,18,17
2023-04-01,Drexel,Fairfield,Away,L,15,11,NA,15,5,20,42,27,40,20,5,11,7,18,46,26,29,12,16,11,15,15,12
2023-04-08,Drexel,Stony Brook,Home,W,15,14,1,15,12,27,35,21,32,21,7,14,8,22,57,25,33,10,10,14,11,15,6
2023-04-15,Drexel,Hofstra,Home,L,7,8,NA,7,2,9,35,21,23,18,3,8,3,11,32,18,18,18,12,8,10,7,14
2023-04-22,Drexel,Delaware,Away,W,13,18,NA,13,5,18,38,21,37,18,8,18,5,23,45,32,30,12,13,18,14,13,8
2023-04-28,Drexel,Monmouth,Home,L,16,7,NA,16,13,29,49,30,38,14,12,7,4,11,35,16,30,23,5,7,9,16,14
2023-05-04,Drexel,"Stony Brook Newark, Del.",Away,W,10,13,NA,10,8,18,46,25,30,16,8,13,9,22,42,23,23,16,9,13,10,10,15
2023-02-04,Duke,Bellarmine,Home,L,19,7,NA,19,10,29,57,41,40,17,12,7,3,10,29,17,27,27,6,7,10,19,22
2023-02-07,Duke,High Point,Home,L,20,8,NA,20,10,30,51,35,36,16,13,8,3,11,43,26,30,20,8,8,18,20,15
2023-02-11,Duke,Jacksonville,Away,W,12,13,NA,12,5,17,48,25,35,16,4,13,6,19,32,24,24,10,10,13,11,12,13
2023-02-17,Duke,Denver,Home,W,14,13,1,14,9,23,37,22,31,15,9,13,5,18,33,21,26,18,4,13,8,14,8
2023-02-25,Duke,Penn,Away,L,14,12,NA,14,8,22,37,24,30,13,5,12,9,21,56,31,31,10,2,12,19,14,10
2023-03-05,Duke,Syracuse,Away,L,14,13,1,14,5,19,66,36,44,14,7,13,8,21,32,24,27,12,8,13,11,14,22
2023-03-10,Duke,Loyola Maryland,Home,L,17,9,NA,17,11,28,46,32,32,12,4,9,3,12,36,18,17,15,7,9,9,17,15
2023-03-17,Duke,North Carolina,Home,L,15,8,NA,15,8,23,39,23,35,22,6,8,2,10,33,22,32,15,7,8,14,15,8
2023-03-20,Duke,Air Force,Home,L,18,6,NA,18,10,28,52,31,43,16,8,6,3,9,35,12,21,22,4,6,6,18,13
2023-03-25,Duke,Saint Joseph's,Away,W,12,9,NA,12,6,18,41,25,27,12,10,9,5,14,38,18,15,17,6,9,9,12,13
2023-03-31,Duke,Virginia,Away,L,16,14,NA,16,9,25,46,30,42,18,7,14,11,25,43,28,45,18,14,14,14,16,14
2023-04-08,Duke,Notre Dame,Away,W,12,17,NA,12,6,18,41,27,34,14,6,17,10,27,39,27,33,9,8,17,10,12,15
2023-04-15,Duke,Virginia,Home,W,15,14,NA,15,8,23,48,32,37,16,6,14,7,21,41,26,34,15,10,14,12,15,17
2023-04-29,Duke,Syracuse,Home,W,18,15,NA,18,10,28,39,28,31,13,5,15,8,23,45,27,23,10,7,15,12,18,10
2023-05-07,Duke,"Merrimack Bethpage, N.Y.",Away,W,14,2,NA,14,10,24,50,31,40,19,11,2,1,3,32,9,33,26,11,2,7,14,17
2023-05-14,Duke,Delaware,Home,W,12,11,NA,12,7,19,45,27,40,16,12,11,4,15,30,22,19,14,4,11,11,12,15
2023-05-20,Duke,"Michigan Albany, N.Y.",Away,W,15,8,NA,15,4,19,36,25,31,15,12,8,5,13,38,22,27,18,3,8,14,15,10
2023-05-27,Duke,"Penn St. Philadelphia, Pa.",Away,L,16,15,1,16,6,22,41,28,33,15,8,15,13,28,29,21,32,17,7,15,6,16,12
2023-05-29,Duke,"Notre Dame Philadelphia, Pa.",Away,L,9,13,NA,9,4,13,47,27,36,11,11,13,6,19,40,23,37,14,8,13,10,9,18
2023-02-11,Fairfield,Lehigh,Away,W,10,20,NA,10,5,15,34,23,28,20,5,20,15,35,50,35,40,14,11,20,15,10,13
2023-02-18,Fairfield,Wagner,Away,W,14,7,NA,14,5,19,41,28,37,21,9,7,4,11,34,15,17,20,9,7,8,14,14
2023-02-22,Fairfield,Sacred Heart,Home,L,17,5,NA,17,11,28,47,32,38,18,9,5,1,6,23,14,22,20,3,5,9,17,15
2023-02-26,Fairfield,Richmond,Away,L,8,10,NA,8,3,11,26,16,20,18,6,10,9,19,39,21,24,15,7,10,11,8,8
2023-03-04,Fairfield,Providence,Away,W,10,17,NA,10,4,14,34,15,30,21,4,17,8,25,47,33,30,13,4,17,16,10,5
2023-03-07,Fairfield,Bryant,Home,L,12,14,NA,12,4,16,37,25,40,15,13,14,10,24,30,21,29,23,8,14,7,12,13
2023-03-11,Fairfield,Binghamton,Home,W,9,14,NA,9,4,13,37,20,25,12,11,14,6,20,48,28,37,17,7,14,14,9,11
2023-03-18,Fairfield,Hofstra,Away,L,12,11,NA,12,7,19,47,23,31,14,5,11,8,19,43,18,20,13,4,11,7,12,11
2023-03-25,Fairfield,Towson,Away,L,7,11,NA,7,3,10,32,22,33,22,10,11,8,19,37,21,48,23,15,11,10,7,15
2023-04-01,Fairfield,Drexel,Home,L,11,15,NA,11,7,18,46,26,29,12,16,15,5,20,42,27,40,20,5,15,12,11,15
2023-04-08,Fairfield,Delaware,Away,L,7,17,NA,7,4,11,39,20,29,14,9,17,12,29,46,31,35,14,6,17,14,7,13
2023-04-15,Fairfield,Monmouth,Home,W,15,14,NA,15,8,23,47,24,33,17,11,14,7,21,44,28,31,18,6,14,14,15,9
2023-04-22,Fairfield,Stony Brook,Away,W,14,17,NA,14,6,20,47,29,48,13,7,17,9,26,50,30,35,14,5,17,13,14,15
2023-04-29,Fairfield,Hampton,Home,L,22,6,NA,22,16,38,50,36,40,19,16,6,2,8,33,18,30,25,7,6,12,22,14
2023-02-11,Georgetown,Johns Hopkins,Away,W,12,13,NA,12,4,16,47,28,35,12,5,13,8,21,40,26,28,13,4,13,13,12,16
2023-02-18,Georgetown,Penn,Home,L,7,9,NA,7,4,11,37,25,27,16,9,9,6,15,39,22,18,17,7,9,13,7,18
2023-02-25,Georgetown,Notre Dame,Home,W,8,15,NA,8,4,12,34,18,36,17,9,15,7,22,48,28,32,20,10,15,13,8,10
2023-03-04,Georgetown,Princeton,Away,L,13,10,NA,13,6,19,46,30,37,13,5,10,8,18,42,25,24,16,7,10,15,13,17
2023-03-11,Georgetown,Richmond,Home,W,13,12,NA,13,5,18,47,32,41,11,14,12,6,18,28,17,35,26,7,12,5,13,19
2023-03-18,Georgetown,High Point,Home,W,22,10,NA,22,14,36,52,34,48,16,15,10,7,17,33,19,33,24,6,10,9,22,12
2023-03-25,Georgetown,Lehigh,Home,W,17,15,NA,17,8,25,41,26,44,18,14,15,12,27,38,26,43,25,11,15,11,17,9
2023-04-01,Georgetown,Denver,Home,L,13,6,NA,13,9,22,46,25,40,18,10,6,4,10,23,14,18,18,6,6,8,13,12
2023-04-08,Georgetown,Providence,Home,W,13,11,NA,13,8,21,56,36,61,12,9,11,6,17,28,15,27,14,5,11,4,13,23
2023-04-15,Georgetown,Marquette,Away,L,15,14,1,15,11,26,43,30,27,10,5,14,7,21,41,21,30,16,2,14,7,15,15
2023-04-18,Georgetown,Loyola Maryland,Away,W,23,7,NA,23,12,35,46,33,42,14,8,7,3,10,33,17,24,17,8,7,10,23,10
2023-04-22,Georgetown,St. John's (NY),Away,L,18,12,NA,18,15,33,48,31,48,13,6,12,6,18,35,24,24,13,6,12,12,18,13
2023-04-28,Georgetown,Villanova,Home,L,12,8,NA,12,5,17,38,24,38,18,12,8,4,12,34,15,29,21,8,8,7,12,12
2023-05-04,Georgetown,"Providence Milwaukee, Wis.",Away,W,19,8,NA,19,13,32,40,27,36,16,4,8,1,9,40,24,24,14,9,8,16,19,8
2023-05-06,Georgetown,"Denver Milwaukee, Wis.",Away,W,14,5,NA,14,10,24,35,22,27,12,7,5,1,6,34,17,21,17,2,5,12,14,8
2023-05-13,Georgetown,Yale,Home,W,19,17,NA,19,10,29,50,31,34,15,11,17,5,22,42,27,29,12,4,17,10,19,12
2023-05-20,Georgetown,"Virginia Albany, N.Y.",Away,W,14,17,NA,14,6,20,48,28,36,12,3,17,11,28,40,28,39,11,12,17,11,14,14
2023-02-19,Hampton,Queens (NC),Home,L,10,17,NA,10,7,17,37,15,47,30,15,17,11,28,33,30,49,23,24,17,13,10,5
2023-02-21,Hampton,VMI,Away,W,10,20,NA,10,4,14,24,21,38,27,13,20,9,29,46,28,35,24,11,20,8,10,11
2023-02-26,Hampton,High Point,Away,L,9,27,NA,9,5,14,19,13,30,28,6,27,19,46,61,35,55,19,18,27,8,9,4
2023-03-01,Hampton,St. Andrews,Away,W,16,4,NA,16,9,25,53,32,17,15,10,4,2,6,18,9,10,16,8,4,5,16,16
2023-03-10,Hampton,Wabash,Home,L,16,4,NA,16,13,29,51,33,61,20,19,4,4,8,20,16,12,21,7,4,12,16,17
2023-03-14,Hampton,Lafayette,Home,W,9,18,NA,9,1,10,25,18,27,24,9,18,10,28,42,31,51,18,16,18,13,9,9
2023-03-18,Hampton,Stony Brook,Home,W,3,19,NA,3,1,4,14,12,12,26,4,19,11,30,61,37,35,10,11,19,18,3,9
2023-03-21,Hampton,Dartmouth,Home,W,9,18,NA,9,3,12,30,18,30,28,13,18,10,28,54,32,38,22,18,18,14,9,9
2023-03-25,Hampton,Drexel,Away,L,4,18,NA,4,3,7,35,15,26,26,9,18,12,30,50,35,42,17,11,18,17,4,11
2023-04-01,Hampton,Delaware,Away,W,1,19,NA,1,0,1,28,11,26,20,9,19,17,36,44,31,30,13,9,19,12,1,10
2023-04-08,Hampton,Monmouth,Home,W,6,14,NA,6,2,8,33,21,21,16,9,14,9,23,48,29,39,18,12,14,15,6,15
2023-04-15,Hampton,Towson,Away,W,1,20,NA,1,0,1,10,5,29,25,6,20,14,34,54,30,40,10,14,20,10,1,4
2023-04-22,Hampton,Hofstra,Home,W,4,15,NA,4,2,6,24,14,30,21,7,15,9,24,40,27,34,16,12,15,12,4,10
2023-04-29,Hampton,Fairfield,Away,L,6,22,NA,6,2,8,33,18,30,25,7,22,16,38,50,36,40,19,16,22,14,6,12
2023-02-18,Harvard,Virginia,Away,W,21,25,NA,21,16,37,49,34,39,13,11,25,17,42,47,34,45,17,5,25,9,21,13
2023-02-25,Harvard,Bucknell,Home,L,13,8,NA,13,5,18,54,27,30,24,12,8,5,13,33,25,29,25,12,8,17,13,14
2023-03-03,Harvard,Vermont,Home,L,12,5,NA,12,8,20,45,24,41,13,10,5,3,8,33,18,40,23,5,5,13,12,12
2023-03-11,Harvard,Michigan,Home,L,13,19,NA,13,5,18,45,30,35,13,9,19,10,29,43,30,45,23,7,19,11,13,17
2023-03-18,Harvard,Brown,Away,L,16,15,1,16,13,29,55,32,31,9,10,15,3,18,35,22,31,20,6,15,7,16,16
2023-03-21,Harvard,Boston U.,Away,W,11,15,NA,11,8,19,42,24,43,23,15,15,9,24,39,26,41,24,16,15,11,11,13
2023-03-25,Harvard,Dartmouth,Away,L,9,10,1,9,5,14,41,21,33,19,12,10,5,15,37,17,34,27,7,10,7,9,12
2023-04-01,Harvard,Colgate,Away,L,14,10,NA,14,11,25,43,24,35,16,5,10,5,15,37,21,26,18,9,10,11,14,10
2023-04-08,Harvard,Cornell,Home,L,10,8,NA,10,4,14,47,24,34,12,8,8,2,10,39,24,43,19,5,8,16,10,14
2023-04-15,Harvard,Penn,Home,W,9,15,NA,9,5,14,46,25,33,16,11,15,11,26,34,26,40,20,9,15,11,9,16
2023-04-22,Harvard,Princeton,Away,W,11,17,NA,11,5,16,45,32,29,5,10,17,7,24,50,29,44,15,2,17,12,11,21
2023-04-29,Harvard,Yale,Home,L,11,14,NA,11,3,14,41,27,44,19,13,14,7,21,35,25,41,24,6,14,11,11,16
2023-02-07,High Point,Duke,Away,L,8,20,NA,8,3,11,43,26,30,20,8,20,10,30,51,35,36,16,13,20,15,8,18
2023-02-11,High Point,Detroit Mercy,Home,L,17,2,NA,17,7,24,71,34,38,16,14,2,0,2,27,12,17,23,10,2,10,17,17
2023-02-17,High Point,VMI,Away,L,17,11,NA,17,11,28,51,31,36,13,13,11,9,20,23,21,24,18,5,11,10,17,14
2023-02-25,High Point,Navy,Home,W,14,13,NA,14,6,20,40,20,26,18,9,13,10,23,44,23,37,18,8,13,10,14,6
2023-02-26,High Point,Hampton,Home,L,27,9,NA,27,19,46,61,35,55,19,18,9,5,14,19,13,30,28,6,9,4,27,8
2023-03-04,High Point,"Jacksonville Charlotte, N.C.",Away,W,15,17,NA,15,11,26,43,30,34,16,14,17,7,24,34,27,31,21,10,17,10,15,15
2023-03-07,High Point,Queens (NC),Home,L,22,6,NA,22,14,36,58,36,51,15,12,6,6,12,17,9,24,23,5,6,3,22,14
2023-03-11,High Point,Robert Morris,Home,W,16,14,NA,16,10,26,49,28,42,16,7,14,8,22,37,26,26,11,9,14,12,16,12
2023-03-18,High Point,Georgetown,Away,W,10,22,NA,10,7,17,33,19,33,24,6,22,14,36,52,34,48,16,15,22,12,10,9
2023-03-22,High Point,North Carolina,Away,L,9,16,NA,9,4,13,42,23,35,23,7,16,9,25,40,33,40,15,14,16,17,9,14
2023-04-01,High Point,Massachusetts,Away,W,10,12,NA,10,5,15,51,24,32,15,8,12,7,19,36,22,36,19,12,12,10,10,14
2023-04-08,High Point,Hobart,Home,W,14,13,NA,14,7,21,46,27,35,21,14,13,8,21,39,20,21,18,10,13,7,14,13
2023-04-15,High Point,Richmond,Away,L,9,13,NA,9,7,16,37,24,22,17,7,13,6,19,44,27,31,12,12,13,14,9,15
2023-04-22,High Point,St. Bonaventure,Away,W,17,8,NA,17,13,30,45,27,35,18,11,8,6,14,46,25,29,20,9,8,17,17,10
2023-04-29,High Point,Saint Joseph's,Home,L,11,17,NA,11,9,20,40,20,28,12,7,17,9,26,37,25,36,13,4,17,8,11,9
2023-05-04,High Point,"Saint Joseph's Richmond, Va.",Away,L,16,14,NA,16,12,28,45,28,35,17,10,14,4,18,41,24,34,16,8,14,10,16,12
2023-05-06,High Point,Richmond,Away,L,8,15,NA,8,5,13,33,23,28,20,3,15,6,21,40,24,24,13,7,15,9,8,15
2023-02-05,Hofstra,Merrimack,Away,L,7,10,NA,7,4,11,44,16,41,26,9,10,8,18,30,21,23,16,6,10,11,7,9
2023-02-11,Hofstra,Navy,Home,L,12,13,NA,12,6,18,43,26,37,14,7,13,8,21,33,23,17,14,2,13,10,12,14
2023-02-18,Hofstra,Michigan,Away,W,10,11,NA,10,6,16,38,22,20,12,8,11,8,19,38,26,29,14,9,11,15,10,12
2023-02-21,Hofstra,LIU,Home,L,13,7,NA,13,10,23,44,24,32,15,12,7,3,10,27,15,21,18,5,7,8,13,11
2023-02-25,Hofstra,St. John's (NY),Away,L,16,12,NA,16,10,26,49,30,37,18,8,12,8,20,44,21,17,17,12,12,9,16,14
2023-03-04,Hofstra,Villanova,Home,W,8,15,NA,8,4,12,35,16,26,19,4,15,10,25,46,29,33,14,7,15,14,8,8
2023-03-14,Hofstra,Syracuse,Home,W,8,16,NA,8,6,14,51,21,32,20,4,16,13,29,48,28,19,10,6,16,12,8,13
2023-03-18,Hofstra,Fairfield,Home,L,11,12,NA,11,8,19,43,18,20,13,4,12,7,19,47,23,31,14,5,12,11,11,7
2023-03-25,Hofstra,Delaware,Home,W,7,15,NA,7,1,8,34,17,29,22,5,15,8,23,47,24,29,15,13,15,9,7,10
2023-04-01,Hofstra,Monmouth,Away,W,12,6,NA,12,7,19,41,23,31,12,6,6,2,8,39,21,26,13,6,6,15,12,11
2023-04-08,Hofstra,Towson,Home,W,8,10,NA,8,4,12,42,28,28,11,9,10,8,18,43,19,26,21,3,10,9,8,20
2023-04-15,Hofstra,Drexel,Away,L,8,7,NA,8,3,11,32,18,18,18,12,7,2,9,35,21,23,18,3,7,14,8,10
2023-04-22,Hofstra,Hampton,Away,W,15,4,NA,15,9,24,40,27,34,16,12,4,2,6,24,14,30,21,7,4,10,15,12
2023-04-29,Hofstra,Stony Brook,Home,L,10,11,NA,10,5,15,45,21,38,17,5,11,7,18,30,20,23,12,7,11,9,10,11
2023-02-05,Holy Cross,Providence,Away,L,9,12,NA,9,4,13,35,24,39,21,6,12,6,18,40,22,29,24,9,12,10,9,15
2023-02-08,Holy Cross,Merrimack,Away,L,9,14,NA,9,5,14,36,20,34,17,6,14,5,19,40,25,45,22,6,14,11,9,11
2023-02-12,Holy Cross,Syracuse,Away,L,6,15,NA,6,0,6,33,17,32,23,4,15,13,28,51,35,35,8,10,15,20,6,11
2023-02-18,Holy Cross,Mercer,Away,L,6,15,NA,6,2,8,26,14,21,25,8,15,11,26,49,33,28,13,14,15,18,6,8
2023-02-25,Holy Cross,Dartmouth,Home,W,6,17,NA,6,4,10,24,13,22,31,5,17,10,27,63,41,34,17,13,17,24,6,7
2023-03-05,Holy Cross,Army West Point,Home,W,6,13,NA,6,3,9,30,14,19,23,5,13,9,22,55,31,35,18,10,13,18,6,8
2023-03-11,Holy Cross,Lehigh,Home,L,11,18,NA,11,3,14,29,20,29,18,5,18,10,28,47,34,41,15,7,18,16,11,9
2023-03-18,Holy Cross,Boston U.,Away,L,9,23,NA,9,7,16,33,17,41,24,7,23,15,38,52,39,44,20,14,23,16,9,8
2023-03-25,Holy Cross,Navy,Home,W,8,13,NA,8,5,13,28,20,24,19,4,13,7,20,58,31,36,18,10,13,18,8,12
2023-04-01,Holy Cross,Loyola Maryland,Away,L,8,15,NA,8,5,13,28,16,20,19,6,15,8,23,52,32,41,10,9,15,17,8,8
2023-04-08,Holy Cross,Lafayette,Away,W,11,17,NA,11,5,16,32,16,23,12,6,17,12,29,44,23,29,16,4,17,6,11,5
2023-04-15,Holy Cross,Bucknell,Home,L,12,18,NA,12,9,21,30,25,30,19,6,18,9,27,63,42,35,17,9,18,24,12,13
2023-04-18,Holy Cross,UMass Lowell,Home,L,13,9,NA,13,8,21,53,37,35,14,11,9,6,15,31,21,24,16,8,9,12,13,24
2023-04-28,Holy Cross,Colgate,Away,L,9,22,NA,9,4,13,46,24,32,16,7,22,10,32,45,28,41,15,6,22,6,9,15
2023-02-04,Jacksonville,Johns Hopkins,Home,W,7,12,NA,7,3,10,36,22,27,19,12,12,6,18,44,25,43,20,8,12,13,7,15
2023-02-11,Jacksonville,Duke,Home,W,13,12,NA,13,6,19,32,24,24,10,10,12,5,17,48,25,35,16,4,12,13,13,11
2023-02-18,Jacksonville,Marist,Home,L,13,5,NA,13,8,21,37,26,31,13,18,5,2,7,34,23,35,22,5,5,18,13,13
2023-03-04,Jacksonville,"High Point Charlotte, N.C.",Away,L,17,15,NA,17,7,24,34,27,31,21,10,15,11,26,43,30,34,16,14,15,15,17,10
2023-03-08,Jacksonville,UMass Lowell,Home,L,16,7,NA,16,7,23,42,33,34,13,16,7,1,8,30,18,30,22,2,7,11,16,17
2023-03-11,Jacksonville,St. John's (NY),Away,W,17,9,NA,17,15,32,52,34,45,22,20,9,5,14,37,19,24,24,12,9,10,17,17
2023-03-18,Jacksonville,Robert Morris,Away,W,12,6,NA,12,8,20,51,22,30,24,10,6,3,9,28,17,30,23,10,6,11,12,10
2023-03-25,Jacksonville,Mercer,Home,W,18,15,NA,18,10,28,53,32,34,13,17,15,9,24,39,26,29,21,5,15,11,18,14
2023-03-29,Jacksonville,Cleveland St.,Away,L,14,12,NA,14,6,20,50,33,40,9,8,12,7,19,29,23,23,16,2,12,11,14,19
2023-03-31,Jacksonville,Utah,Away,W,15,18,NA,15,9,24,45,32,42,15,4,18,7,25,47,27,37,10,7,18,9,15,17
2023-04-08,Jacksonville,Queens (NC),Home,L,25,5,NA,25,20,45,80,51,50,10,11,5,3,8,22,14,19,14,2,5,9,25,26
2023-04-12,Jacksonville,Detroit Mercy,Home,L,17,7,NA,17,6,23,49,31,41,14,9,7,4,11,45,28,31,15,8,7,21,17,14
